pos,resource,type,match,cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
92.1,514,Q,73.309832,27.690168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93.1,839,Q,75.610064,25.389936000000006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94.1,507,Q,81.407953,19.592046999999994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95.1,1194,T,63.396534,1215.1271900000002,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96.1,640,Q,65.41012,35.589879999999994, , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1
97.1,1062,Q,74.284286,26.715714000000006, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98.1,524,Q,79.461432,21.538567999999998, , , , , , , , , , , , , , , , , , , , , , , , , ,1
99.1,1303,Q,81.626581,19.373419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99.2,1162,Q,78.891732,22.108267999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99.3,1027,Q,78.636547,22.363453000000007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100.1,616,Q,72.648269,28.351731, , , , , , , , , , , , , , , , , , , , , , , ,1,1,1
101.1,629,Q,73.576248,27.423751999999993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.2,1265,Q,70.48475,30.515249999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102.1,506,Q,80.142267,20.857732999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103.1,537,Q,68.24033,32.75967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104.1,43,Q,68.13661,32.863389999999995, , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1
105.1,587,Q,82.907516,18.092484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106.1,345,Q,75.486579,25.513420999999994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107.1,Gap,G,0,7429.233136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.2,Gap,G,0,7429.233136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.3,Gap,G,0,7429.233136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.1,411,Q,69.892337,31.107663000000002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109.1,Gap,G,0,7440.189744000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.1,1247,Q,80.603179,20.396821000000003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111.1,344,Q,66.359806,34.640193999999994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112.1,Gap,G,0,7424.569151999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
