periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
84.1,84,1,26,Gap,G,0,0,0,0,26,0.0,7434.662560000001,7434.662560000001,0
85.1,85,3,24,248,Q,1,3,0,24,0,17.851173000000003,0.0,17.851173000000003,83.148827
86.1,86,1,26,525,Q,1,1,0,26,0,11.338104000000001,0.0,11.338104000000001,89.661896
87.1,87,1,26,601,Q,1,1,0,26,0,13.436829000000003,0.0,13.436829000000003,87.563171
88.1,88,1,26,808,Q,1,1,0,26,0,14.177880000000002,0.0,14.177880000000002,86.82212
89.1,89,1,26,546,Q,1,1,0,26,0,18.432655999999994,0.0,18.432655999999994,82.567344
90.1,90,1,26,681,Q,1,1,0,26,0,21.634940999999998,0.0,21.634940999999998,79.365059
91.1,91,1,26,Gap,G,0,0,0,0,26,0.0,7396.076896000001,7396.076896000001,0
92.1,92,1,26,514,Q,1,1,0,26,0,27.690168,0.0,27.690168,73.309832
93.1,93,1,26,839,Q,1,1,0,26,0,25.389936000000006,0.0,25.389936000000006,75.610064
94.1,94,1,26,507,Q,1,1,0,26,0,19.592046999999994,0.0,19.592046999999994,81.407953
95.1,95,1,26,1194,T,1,5,4,22,4,71.47807000000012,1143.64912,1215.1271900000002,63.396534
96.1,96,16,11,640,Q,12,16,0,11,0,35.589879999999994,0.0,35.589879999999994,65.41012
97.1,97,2,25,1062,Q,1,2,0,25,0,26.715714000000006,0.0,26.715714000000006,74.284286
98.1,98,26,1,524,Q,15,26,0,1,0,21.538567999999998,0.0,21.538567999999998,79.461432
99.1,99,1,26,1303,Q,1,1,0,26,0,19.373419,0.0,19.373419,81.626581
99.2,99,1,26,1162,Q,1,1,0,26,0,22.108267999999995,0.0,22.108267999999995,78.891732
99.3,99,1,26,1027,Q,1,1,0,26,0,22.363453000000007,0.0,22.363453000000007,78.636547
100.1,100,24,3,616,Q,1,24,0,3,0,28.351731,0.0,28.351731,72.648269
101.1,101,1,26,629,Q,1,1,0,26,0,27.423751999999993,0.0,27.423751999999993,73.576248
101.2,101,1,26,1265,Q,1,1,0,26,0,30.515249999999995,0.0,30.515249999999995,70.48475
102.1,102,1,26,506,Q,1,1,0,26,0,20.857732999999996,0.0,20.857732999999996,80.142267
103.1,103,1,26,537,Q,1,1,0,26,0,32.75967,0.0,32.75967,68.24033
104.1,104,22,5,43,Q,14,22,0,5,0,32.863389999999995,0.0,32.863389999999995,68.13661
105.1,105,1,26,587,Q,1,1,0,26,0,18.092484,0.0,18.092484,82.907516
106.1,106,1,26,345,Q,1,1,0,26,0,25.513420999999994,0.0,25.513420999999994,75.486579
107.1,107,1,26,Gap,G,0,0,0,0,26,0.0,7429.233136,7429.233136,0
107.2,107,1,26,Gap,G,0,0,0,0,26,0.0,7429.233136,7429.233136,0
107.3,107,1,26,Gap,G,0,0,0,0,26,0.0,7429.233136,7429.233136,0
108.1,108,1,26,411,Q,1,1,0,26,0,31.107663000000002,0.0,31.107663000000002,69.892337
109.1,109,1,26,Gap,G,0,0,0,0,26,0.0,7440.189744000001,7440.189744000001,0
110.1,110,1,26,1247,Q,1,1,0,26,0,20.396821000000003,0.0,20.396821000000003,80.603179
111.1,111,1,26,344,Q,1,1,0,26,0,34.640193999999994,0.0,34.640193999999994,66.359806
112.1,112,1,26,Gap,G,0,0,0,0,26,0.0,7424.569151999999,7424.569151999999,0
113.1,113,1,26,377,Q,15,15,0,12,14,34.97383099999979,3999.5911199999996,4034.5649509999994,66.026169
114.1,114,9,18,693,Q,1,9,0,18,0,30.168796,0.0,30.168796,70.831204
115.1,115,1,26,1231,Q,1,1,0,26,0,27.540736999999993,0.0,27.540736999999993,73.459263
116.1,116,1,26,134,Q,1,1,0,26,0,26.434310999999994,0.0,26.434310999999994,74.565689
117.1,117,1,26,224,Q,1,1,0,26,0,19.799201999999994,0.0,19.799201999999994,81.200798
118.1,118,24,3,1142,Q,1,24,0,3,0,22.200357999999994,0.0,22.200357999999994,78.799642
118.2,118,24,3,326,Q,21,24,0,3,0,22.736054999999993,0.0,22.736054999999993,78.263945
118.3,118,24,3,920,Q,16,24,0,3,0,24.326046000000005,0.0,24.326046000000005,76.673954
119.1,119,1,26,1118,Q,1,1,0,26,0,17.064710000000005,0.0,17.064710000000005,83.93529
120.1,120,1,26,264,Q,1,1,0,26,0,23.411208000000002,0.0,23.411208000000002,77.588792
121.1,121,1,26,Hire,H,0,5,4,22,4,142.91974400000004,1143.3579519999998,1286.2776959999999,0
122.1,122,1,26,767,Q,1,1,0,26,0,31.122985,0.0,31.122985,69.877015
123.1,123,1,26,389,Q,1,1,0,26,0,19.761357000000004,0.0,19.761357000000004,81.238643
124.1,124,1,26,939,Q,1,1,0,26,0,27.946325,0.0,27.946325,73.053675
125.1,125,1,26,294,Q,1,1,0,26,0,31.775379,0.0,31.775379,69.224621
126.1,126,1,26,435,Q,1,1,0,26,0,35.58600199999999,0.0,35.58600199999999,65.413998
127.1,127,1,26,427,Q,20,20,0,7,19,34.892562,5409.751896000001,5444.644458000001,66.107438
128.1,128,1,26,156,Q,1,1,0,26,0,20.359961,0.0,20.359961,80.640039
129.1,129,5,22,92,Q,1,5,0,22,0,23.433800000000005,0.0,23.433800000000005,77.5662
130.1,130,1,26,410,Q,1,1,0,26,0,33.973138000000006,0.0,33.973138000000006,67.026862
131.1,131,1,26,821,Q,1,1,0,26,0,13.972166999999999,0.0,13.972166999999999,87.027833
132.1,132,1,26,480,Q,1,1,0,26,0,24.160501999999994,0.0,24.160501999999994,76.839498
133.1,133,1,26,979,Q,1,1,0,26,0,27.632510999999994,0.0,27.632510999999994,73.367489
134.1,134,1,26,696,Q,1,1,0,26,0,16.53327,0.0,16.53327,84.46673
135.1,135,16,11,744,Q,9,16,0,11,0,34.592974999999996,0.0,34.592974999999996,66.407025
136.1,136,1,26,608,Q,1,1,0,26,0,26.346712999999994,0.0,26.346712999999994,74.653287
137.1,137,1,26,594,Q,14,14,0,13,13,35.43799500000023,3715.1276239999997,3750.565619,65.562005
138.1,138,1,26,Gap,G,0,0,0,0,26,0.0,7431.037952000001,7431.037952000001,0
139.1,139,1,26,228,Q,1,1,0,26,0,22.337103,0.0,22.337103,78.662897
140.1,140,1,26,Hire,H,0,5,4,22,4,140.69832399999996,1125.586592,1266.284916,0
