periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
183.1,183,14,13,579,Q,10,14,0,13,0,28.0,0.0,28.0,72.368478
184.1,184,1,26,440,Q,1,1,0,26,0,29.0,0.0,29.0,71.813879
185.1,185,1,26,352,Q,1,1,0,26,0,29.0,0.0,29.0,71.587354
186.1,186,26,1,1113,Q,1,26,0,1,0,35.0,0.0,35.0,65.624293
187.1,187,24,3,19,Q,24,24,0,3,0,31.0,0.0,31.0,69.596111
188.1,188,1,26,774,Q,1,1,0,26,0,24.0,0.0,24.0,76.070796
189.1,189,1,26,1151,Q,1,1,0,26,0,34.0,0.0,34.0,66.061052
190.1,190,10,17,654,Q,5,10,0,17,0,33.0,0.0,33.0,67.18242
191.1,191,1,26,519,Q,1,1,0,26,0,34.0,0.0,34.0,66.551207
192.1,192,1,26,451,Q,1,1,0,26,0,30.0,0.0,30.0,70.18059
192.2,192,1,26,941,Q,1,1,0,26,0,32.0,0.0,32.0,68.638906
194.1,194,1,26,1031,Q,1,1,0,26,0,30.0,0.0,30.0,70.921357
194.2,194,1,26,560,Q,1,1,0,26,0,29.0,0.0,29.0,71.038895
195.1,195,1,26,23,Q,1,1,0,26,0,34.0,0.0,34.0,66.537185
196.1,196,20,7,427,Q,20,20,0,7,0,31.0,0.0,31.0,69.137073
197.1,197,1,26,1213,Q,1,1,0,26,0,35.0,0.0,35.0,65.926622
198.1,198,14,13,1072,Q,10,14,0,13,0,32.0,0.0,32.0,68.270719
199.1,199,1,26,991,Q,1,1,0,26,0,16.0,0.0,16.0,84.561794
200.1,200,1,26,552,Q,1,1,0,26,0,34.0,0.0,34.0,66.072956
201.1,201,1,26,96,Q,1,1,0,26,0,28.0,0.0,28.0,72.421536
202.1,202,1,26,731,Q,1,1,0,26,0,28.0,0.0,28.0,72.288331
203.1,203,1,26,449,Q,1,1,0,26,0,22.0,0.0,22.0,78.193596
204.1,204,1,26,1123,Q,1,1,0,26,0,21.0,0.0,21.0,79.411231
205.1,205,1,26,332,Q,1,1,0,26,0,24.0,0.0,24.0,76.270839
206.1,206,1,26,1202,Q,1,1,0,26,0,33.0,0.0,33.0,67.657016
207.1,207,1,26,186,Q,1,1,0,26,0,33.0,0.0,33.0,67.681798
207.2,207,1,26,1019,Q,1,1,0,26,0,34.0,0.0,34.0,66.354892
208.1,208,1,26,1044,Q,1,1,0,26,0,35.0,0.0,35.0,65.88
208.2,208,1,26,154,Q,1,1,0,26,0,33.0,0.0,33.0,67.2672
208.3,208,1,26,278,Q,1,1,0,26,0,35.0,0.0,35.0,65.441282
209.1,209,1,26,366,Q,1,1,0,26,0,34.0,0.0,34.0,66.508455
210.1,210,13,14,1092,Q,3,13,0,14,0,28.0,0.0,28.0,72.521186
211.1,211,22,5,577,Q,22,22,0,5,0,32.0,0.0,32.0,68.576268
211.2,211,22,5,550,Q,19,22,0,5,0,30.0,0.0,30.0,70.32377
211.3,211,22,5,590,Q,15,22,0,5,0,32.0,0.0,32.0,68.452753
212.1,212,1,26,1076,Q,1,1,0,26,0,34.0,0.0,34.0,66.435627
213.1,213,2,25,955,Q,1,2,0,25,0,34.0,0.0,34.0,66.448667
214.1,214,1,26,708,Q,1,1,0,26,0,30.0,0.0,30.0,70.153459
215.1,215,1,26,90,Q,1,1,0,26,0,21.0,0.0,21.0,79.569489
216.1,216,1,26,1132,Q,1,1,0,26,0,13.0,0.0,13.0,87.419721
217.1,217,16,11,373,Q,10,16,0,11,0,34.0,0.0,34.0,66.33237
218.1,218,1,26,580,Q,1,1,0,26,0,23.0,0.0,23.0,77.396888
219.1,219,1,26,786,Q,1,1,0,26,0,32.0,0.0,32.0,68.813315
220.1,220,1,26,917,Q,1,1,0,26,0,19.0,0.0,19.0,81.299499
221.1,221,21,6,88,Q,16,21,0,6,0,35.0,0.0,35.0,65.850026
222.1,222,1,26,612,Q,1,1,0,26,0,35.0,0.0,35.0,65.957661
223.1,223,1,26,1261,Q,1,1,0,26,0,29.0,0.0,29.0,71.975378
224.1,224,1,26,22,Q,1,1,0,26,0,34.0,0.0,34.0,66.21005
226.1,226,1,26,1018,T,1,2,1,25,1,70.82099200000005,285.17900799999995,356.0,63.662945
227.1,227,1,26,585,Q,1,1,0,26,0,27.0,0.0,27.0,73.718744
228.1,228,1,26,618,Q,1,1,0,26,0,33.0,0.0,33.0,67.131358
229.1,229,1,26,808,Q,1,1,0,26,0,17.0,0.0,17.0,83.378061
229.2,229,1,26,1297,Q,1,1,0,26,0,25.0,0.0,25.0,75.297261
230.1,230,24,3,628,Q,8,24,0,3,0,30.0,0.0,30.0,70.181818
231.1,231,1,26,801,Q,1,1,0,26,0,26.0,0.0,26.0,74.017834
232.1,232,1,26,1273,Q,1,1,0,26,0,30.0,0.0,30.0,70.474307
233.1,233,1,26,1211,Q,1,1,0,26,0,34.0,0.0,34.0,66.070173
234.1,234,1,26,895,Q,1,1,0,26,0,21.0,0.0,21.0,79.963056
235.1,235,1,26,890,Q,1,1,0,26,0,33.0,0.0,33.0,67.932096
236.1,236,1,26,1170,Q,1,1,0,26,0,34.0,0.0,34.0,66.022855
237.1,237,1,26,898,Q,1,1,0,26,0,24.0,0.0,24.0,76.03955
237.2,237,1,26,1086,Q,1,1,0,26,0,28.0,0.0,28.0,72.116773
238.1,238,1,26,1054,Q,1,1,0,26,0,35.0,0.0,35.0,65.436594
239.1,239,1,26,587,Q,1,1,0,26,0,30.0,0.0,30.0,70.252357
239.2,239,1,26,281,Q,1,1,0,26,0,28.0,0.0,28.0,72.011516
240.1,240,1,26,990,Q,1,1,0,26,0,28.0,0.0,28.0,72.283761
241.1,241,1,26,1142,Q,1,1,0,26,0,23.0,0.0,23.0,77.562711
242.1,242,1,26,1307,Q,1,1,0,26,0,30.0,0.0,30.0,70.45653
243.1,243,1,26,97,Q,1,1,0,26,0,34.0,0.0,34.0,66.641576
244.1,244,1,26,717,Q,1,1,0,26,0,29.0,0.0,29.0,71.710589
244.2,244,1,26,1075,Q,1,1,0,26,0,29.0,0.0,29.0,71.021372
244.3,244,1,26,1016,Q,1,1,0,26,0,30.0,0.0,30.0,70.19476
245.1,245,1,26,1226,Q,1,1,0,26,0,30.0,0.0,30.0,70.535139
246.1,246,1,26,1127,Q,1,1,0,26,0,33.0,0.0,33.0,67.233568
247.1,247,1,26,1203,Q,1,1,0,26,0,34.0,0.0,34.0,66.146115
248.1,248,1,26,1162,Q,1,1,0,26,0,34.0,0.0,34.0,66.232878
249.1,249,1,26,1046,Q,1,1,0,26,0,25.0,0.0,25.0,75.772599
250.1,250,1,26,494,Q,1,1,0,26,0,32.0,0.0,32.0,68.185316
251.1,251,1,26,626,Q,1,1,0,26,0,33.0,0.0,33.0,67.308673
252.1,252,1,26,824,Q,1,1,0,26,0,35.0,0.0,35.0,65.848281
253.1,253,1,26,644,Q,1,1,0,26,0,28.0,0.0,28.0,72.220174
254.1,254,1,26,1073,Q,1,1,0,26,0,33.0,0.0,33.0,67.675855
255.1,255,1,26,635,Q,1,1,0,26,0,33.0,0.0,33.0,67.008647
256.1,256,1,26,1189,Q,1,1,0,26,0,30.0,0.0,30.0,70.877682
257.1,257,19,8,413,Q,14,19,0,8,0,30.0,0.0,30.0,70.003579
258.1,258,1,26,667,Q,1,1,0,26,0,26.0,0.0,26.0,74.629493
259.1,259,1,26,534,Q,1,1,0,26,0,34.0,0.0,34.0,66.404811
260.1,260,2,25,816,Q,2,2,0,25,0,20.0,0.0,20.0,80.210496
